SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
4715,Fayette,Lexington,Marriott Lexington Griffin Gate,"AIMBRIDGE HOSPITALITY, LLC ",1800 Newtown Pike,"Lexington, KY 40511",034-NQ-159573,NQ Retail Malt Beverage Package License,Active,2/11/20,2/7/20,8/31/23
4715,Fayette,Lexington,Marriott Lexington Griffin Gate,"AIMBRIDGE HOSPITALITY, LLC ",1800 Newtown Pike,"Lexington, KY 40511",034-ESL-159574,Extended Hours Supplemental License,Active,2/11/20,2/7/20,8/31/23
4715,Fayette,Lexington,Marriott Lexington Griffin Gate,"AIMBRIDGE HOSPITALITY, LLC ",1800 Newtown Pike,"Lexington, KY 40511",034-CL-159575,Caterer's License,Active,2/11/20,2/7/20,8/31/23
4715,Fayette,Lexington,Marriott Lexington Griffin Gate,"AIMBRIDGE HOSPITALITY, LLC ",1800 Newtown Pike,"Lexington, KY 40511",034-HI-159576,Hotel In-Room License,Active,2/11/20,2/7/20,8/31/23
33100,Fayette,Lexington,Marshall Lifestyle Medicine,Marshall Lifestyle Medicine PSC,2251 War Admiral Way #115 #125,"Lexington, KY 40509",034-NQ4-186458,NQ4 Retail Malt Beverage Drink License,Active,9/30/21,9/30/21,11/30/22
33100,Fayette,Lexington,Marshall Lifestyle Medicine,Marshall Lifestyle Medicine PSC,2251 War Admiral Way #115 #125,"Lexington, KY 40509",034-LD-186459,Quota Retail Drink License,Active,9/30/21,9/30/21,11/30/22
3641,Fayette,Lexington,Martine's Pastries,"MCORP, LLC ",400 E Third St,"Lexington, KY 40508",034-NQ2-3842,NQ2 Retail Drink License,Active,11/20/18,12/1/18,11/30/22
,Fayette,Lexington,Mary Queen Fall Festival,Mary Queen of the Holy Rosary Church,601 Hill N Dale Rd,"Lexington, KY 40503",034-TA-192700,Special Temporary Alcoholic Beverage Auction License,Active,9/13/22,10/13/22,10/17/22
11852,Fayette,Lexington,Masala Indian Cuisine,"VIJ ENTERPRISES, LLC ",3061 Fieldstone Way Ste 600,"Lexington, KY 40513",034-NQ4-2210,NQ4 Retail Malt Beverage Drink License,Active,5/13/13,6/25/13,11/30/22
11852,Fayette,Lexington,Masala Indian Cuisine,"VIJ ENTERPRISES, LLC ",3061 Fieldstone Way Ste 600,"Lexington, KY 40513",034-NQ2-3154,NQ2 Retail Drink License,Active,10/24/16,10/24/16,11/30/22
18048,Fayette,Lexington,Maty's Authentic Peruvian Cuisine,Maty's Authentic Peruvian Cuisine LLC,4371 Old Harrodsburg Rd Ste 160,"Lexington, KY 40513",034-NQ2-188920,NQ2 Retail Drink License,Active,2/16/22,2/16/22,11/30/22
2720,Fayette,Lexington,McCarthy's,"MINNEHOMMA, LLC ",113-115-117-119 S Upper,"Lexington, KY 40507",034-RS-0638,Special Sunday Retail Drink License,Active,12/11/07,12/11/07,11/30/22
2720,Fayette,Lexington,McCarthy's,"MINNEHOMMA, LLC ",113-115-117-119 S Upper,"Lexington, KY 40507",034-NQ4-1495,NQ4 Retail Malt Beverage Drink License,Active,5/13/13,6/25/13,11/30/22
2720,Fayette,Lexington,McCarthy's,"MINNEHOMMA, LLC ",113-115-117-119 S Upper,"Lexington, KY 40507",034-LD-1287,Quota Retail Drink License,Active,12/11/07,12/11/07,11/30/22
2720,Fayette,Lexington,McCarthy's,"MINNEHOMMA, LLC ",113-115-117-119 S Upper,"Lexington, KY 40507",034-SB-1100,Supplemental Bar License,Active,5/13/13,6/25/13,11/30/22
34611,Fayette,Lexington,Mehak Indian Cuisine,Parteek Incorporated ,395 S Limestone Ste 110,"Lexington, KY 40508",034-NQ2-191957,NQ2 Retail Drink License,Active,8/8/22,8/8/22,11/30/22
606,Fayette,Lexington,Meijer Gas Station #161,MEIJER GREAT LAKES LIMITED PARTNERSHIP ,2145 Paul Jones Way,"Lexington, KY 40509",034-NQ-1128,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,8/31/23
741,Fayette,Lexington,Meijer Gas Station #184,MEIJER GREAT LAKES LIMITED PARTNERSHIP ,391 W Reynolds Rd,"Lexington, KY 40503",034-NQ-1114,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,8/31/23
6164,Fayette,Lexington,Meijer Party Store #161 (Package),MEIJER GREAT LAKES LIMITED PARTNERSHIP ,2155 Paul Jones Way Ste 110,"Lexington, KY 40509",034-NQ-1129,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,8/31/23
6164,Fayette,Lexington,Meijer Party Store #161 (Package),MEIJER GREAT LAKES LIMITED PARTNERSHIP ,2155 Paul Jones Way Ste 110,"Lexington, KY 40509",034-LP-1361,Quota Retail Package License,Active,2/10/04,2/10/04,8/31/23
6163,Fayette,Lexington,Meijer Party Store #184 (Package),MEIJER GREAT LAKES LIMITED PARTNERSHIP ,351 Meijer Way Ste 110,"Lexington, KY 40503",034-LP-1404,Quota Retail Package License,Active,2/11/04,2/11/04,8/31/23
6163,Fayette,Lexington,Meijer Party Store #184 (Package),MEIJER GREAT LAKES LIMITED PARTNERSHIP ,351 Meijer Way Ste 110,"Lexington, KY 40503",034-NQ-1115,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,8/31/23
607,Fayette,Lexington,Meijer Store #161 (Grocery),MEIJER GREAT LAKES LIMITED PARTNERSHIP ,2155 Paul Jones Way Ste 100,"Lexington, KY 40509",034-NQ-1130,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,8/31/23
742,Fayette,Lexington,Meijer Store #184 (Grocery),MEIJER GREAT LAKES LIMITED PARTNERSHIP ,351 Meijer Way Ste 100,"Lexington, KY 40503",034-NQ-1116,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,8/31/23
10196,Fayette,Lexington,Mellow Mushroom Pizza Baker,CKRG Campus LLC ,503 S Upper St,"Lexington, KY 40508",034-RS-5439,Special Sunday Retail Drink License,Active,12/7/18,12/7/18,11/30/22
10196,Fayette,Lexington,Mellow Mushroom Pizza Baker,CKRG Campus LLC ,503 S Upper St,"Lexington, KY 40508",034-NQ2-3803,NQ2 Retail Drink License,Active,12/7/18,12/7/18,11/30/22
35253,Fayette,Lexington,Merlin Trucking LLC,"MERLIN TRUCKING, LLC ",2980 Masters View Rd,"Lexington, KY 40511",034-TPL-191608,Transporter's License,Active,7/22/22,7/22/22,12/31/22
4861,Fayette,Lexington,Mi Mexico Restaurant,"ARELLANO-HERNANDEZ RESTAURANTS, INC. ",818 E New Circle Rd,"Lexington, KY 40505",034-RS-4662,Special Sunday Retail Drink License,Active,1/30/17,1/30/17,11/30/22
4861,Fayette,Lexington,Mi Mexico Restaurant,"ARELLANO-HERNANDEZ RESTAURANTS, INC. ",818 E New Circle Rd,"Lexington, KY 40505",034-NQ2-3193,NQ2 Retail Drink License,Active,1/30/17,1/30/17,11/30/22
6324,Fayette,Lexington,Mi Mexico Restaurant,"MI MEXICO, INC. ",100 Prosperous Pl,"Lexington, KY 40509",034-RS-2846,Special Sunday Retail Drink License,Active,5/13/13,6/25/13,11/30/22
6324,Fayette,Lexington,Mi Mexico Restaurant,"MI MEXICO, INC. ",100 Prosperous Pl,"Lexington, KY 40509",034-NQ2-1529,NQ2 Retail Drink License,Active,5/13/13,6/25/13,11/30/22
5798,Fayette,Lexington,Mi Pequena Hacienda,SALAS ENTERPRISES CORPORATION ,3501 Lansdowne Dr,"Lexington, KY 40517",034-RS-2724,Special Sunday Retail Drink License,Active,5/13/13,6/25/13,11/30/22
5798,Fayette,Lexington,Mi Pequena Hacienda,SALAS ENTERPRISES CORPORATION ,3501 Lansdowne Dr,"Lexington, KY 40517",034-NQ2-1452,NQ2 Retail Drink License,Active,5/13/13,6/25/13,11/30/22
5798,Fayette,Lexington,Mi Pequena Hacienda,SALAS ENTERPRISES CORPORATION ,3501 Lansdowne Dr,"Lexington, KY 40517",034-CL-193169,Caterer's License,Active,10/10/22,10/10/22,11/30/22
10647,Fayette,Lexington,Michikusa,H A COMPANY LLC ,125 Codell Dr Ste 128,"Lexington, KY 40509",034-NQ2-3972,NQ2 Retail Drink License,Active,6/5/19,6/5/19,11/30/22
26120,Fayette,Lexington,Michler's,MICHLER FLORIST ,417 E Maxwell St Unit A,"Lexington, KY 40508",034-NQ-6791,NQ Retail Malt Beverage Package License,Active,4/4/18,4/4/18,11/30/22
